,Num Topics,Mean Cosine Similarity,Median Cosine Similarity,Coherence cv,Coherence umass,Perplexity,Variational Lower Bound
0,2,0.606,0.606,0,0,0,-18233635.01600015
1,3,0.57,0.587,0,0,0,-18077725.709109426
2,4,0.352,0.487,0,0,0,-18037898.979185343
3,5,0.508,0.498,0,0,0,-18008646.633238316
4,6,0.35,0.449,0,0,0,-17971724.420347095
5,7,0.521,0.456,0,0,0,-17963110.971992493
6,8,0.478,0.462,0,0,0,-17956922.3747797
7,9,0.443,0.414,0,0,0,-17948912.120841026
8,10,0.42,0.43,0,0,0,-17945930.775523305
9,11,0.467,0.445,0,0,0,-17943029.27851975
10,12,0.439,0.426,0,0,0,-17942654.26706946
11,13,0.396,0.386,0,0,0,-17943249.445317388
12,14,0.402,0.41,0,0,0,-17941838.682055593
13,15,0.504,0.457,0,0,0,-17944108.452352643
14,16,0.485,0.449,0,0,0,-17944235.78755176
15,17,0.49,0.452,0,0,0,-17944635.634483337
16,18,0.543,0.482,0,0,0,-17944784.507473826
17,19,0.543,0.49,0,0,0,-17946378.968019962
18,20,0.505,0.484,0,0,0,-17944657.636080444
19,21,0.499,0.484,0,0,0,-17943758.217496336
20,22,0.477,0.465,0,0,0,-17945294.180337608
21,23,0.559,0.507,0,0,0,-17944851.292543054
22,24,0.557,0.509,0,0,0,-17946042.058711648
23,25,0.484,0.476,0,0,0,-17947519.462397814
24,26,0.523,0.494,0,0,0,-17947928.53665924
25,27,0.677,0.543,0,0,0,-17952957.179142892
26,28,0.618,0.541,0,0,0,-17957068.700823963
27,29,0.665,0.533,0,0,0,-17955280.75077802
28,30,0.685,0.535,0,0,0,-17956662.230771244
