document,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,,,,0.047836654,,0.61680377,,0.22806178,,,0.09278441
1,,,,,,,0.061360154,,0.7398628,,0.061441343,,,0.1221781
2,,0.03292348,0.19492699,,,,0.13525769,,,,,0.6028939,,
3,,,,,,,0.33538178,,0.47754365,,,,0.14083566,0.016546927
4,0.11052269,,,,,,,,0.8179965,,,,,0.044804692
5,,0.047721036,,,,,,,,,0.26152688,0.6235795,,0.03882709
6,,,,,0.2739572,,0.7058734,,,,,,,
7,,,,,0.6938422,,0.12992007,,,,,0.143774,,
8,,,0.033361692,,0.046217967,,0.5595455,,0.18275124,,,0.17326279,,
9,,0.029130934,,,0.2780338,,0.45642903,0.088029526,,,,0.1473946,,
10,0.08556459,,,,0.057528295,,0.29977304,0.5372531,,,,,,
11,,0.051806442,0.03851558,,0.2530887,,0.35219243,0.13624051,,,,0.16527618,,
12,,,,,,,0.055034023,,0.8153814,,,,,0.123041175
13,0.083155334,,,,,,,,0.7712208,,,,,0.13816349
14,0.6498337,,,0.01853505,,,,,,,,0.19271947,,0.10386704
15,,,,,,,0.06074462,,0.7398885,,,0.10571377,,0.08917725
16,0.26480573,,,,,,,,0.6242073,,,,,0.091022536
17,,,,,,0.14227489,0.09960361,,0.563905,,,0.16878486,,
18,,,,,,,0.05629262,,0.7997567,,0.06722838,,,0.06368394
19,,,,,,0.22630033,0.060653336,,,,,0.50513726,0.18958361,
20,,,,,,0.15974063,0.12190597,,,,,0.35513103,0.27730376,0.053534575
21,,,,,0.042606726,,0.11020696,,0.62548983,,,0.10090901,,0.09658385
22,,,,,,,0.20553897,,0.70133066,,0.027526822,,,0.044716332
23,0.17851263,,,,,0.04490734,,,0.71888167,,,,,0.040940795
24,0.23723242,,,,,,0.45720154,,0.24853264,,,,,0.029079968
25,,,0.07011177,,,,0.07675028,,0.73197466,,,0.012474325,,0.09998987
26,,,0.24905246,,0.055335294,,,,,,0.2574579,0.40551448,,
27,,,,,0.036255687,,0.113540374,,0.58699304,,0.15492277,0.09052681,,
28,,,0.09489562,,,,0.14194596,,0.6819608,,,,,0.06121728
29,,,,,0.17400347,,,,0.03861437,,,0.7417964,,0.028372005
30,,0.08151698,0.059807453,,,,0.27349514,,0.4270898,,0.09671289,,,0.03427032
31,,,,0.031659126,0.06350439,,0.35677707,,,,,0.49501693,,0.021970708
32,,,,,,,0.02958213,,0.8982902,,,,,0.063959375
33,,,,,,,0.38959903,,0.30146077,,,0.27410027,,
34,,,,,,0.87758875,,,0.112476766,,,,,
35,,,0.12874278,,,,0.05544975,,,,0.43189377,0.35506907,,
36,,0.09559157,,,0.06892811,0.1043948,0.27863783,,0.10251658,,,0.2933683,,0.034151956
37,,,,,,,0.08273791,,,,,0.8834749,,0.012762084
38,,,,,,,0.38388768,,0.53778213,,0.052466273,,,
39,,,0.19860291,,,,0.04472973,,0.09076656,,0.269141,0.37543535,,
40,,,0.10507443,,,,0.2461427,,0.46041143,,,0.09671532,,0.07832513
41,,0.038559053,,0.034175087,,,0.20273982,,,,0.14667532,0.5654937,,
42,0.18145725,0.08813532,0.10264724,0.030379038,,0.13228144,,,0.102643624,,,0.3487684,,
43,,,,,,,0.08728352,,0.058083188,,,0.79451555,,0.03545466
44,0.15370663,,,,,,0.051532373,,0.71029043,,,,,0.07312941
45,,0.07732595,,,,0.27331805,0.11679597,,,,,0.518556,,
46,,,0.14971398,0.06929124,,0.17285189,0.12768148,,,0.27259046,,0.18047039,,
47,,,0.07059002,0.010798241,0.051684607,0.061900493,0.05583556,,,,,0.66058743,,0.074491516
48,,0.036321055,0.18524015,0.05292387,0.059513643,0.12401303,0.12230914,,,,,0.32837555,0.070248514,
49,0.057765406,0.080920026,,0.022456864,0.115711175,,0.32107192,,,,0.16602655,0.22187895,,
50,0.08569425,,,0.021908373,0.034043916,,0.35559404,,0.23305391,,0.067082144,0.14674355,,0.04173507
51,0.8623999,,,,,,,,0.113313876,,,,,
52,,,0.09856794,0.015240257,0.05105235,,0.08706827,,,,0.36290848,0.37598094,,
53,0.34013644,,,,,,0.12503837,,0.3474514,,,,,0.16230327
54,,0.021974936,,,,,0.07776803,,0.7120181,,,,0.08329444,0.08959856
55,0.14438306,0.049011804,0.026508877,,,,,,,,0.23923899,0.497377,,0.021077877
56,0.16438031,,0.07687873,,,0.12200552,,,,,,0.4254218,0.19932637,
57,,,0.040552057,,,,0.056085818,,0.8194752,,0.042468343,,,0.023664473
58,0.08707973,0.18092212,,,,0.2439896,0.07091671,,,,,0.39897513,,
59,,0.07192151,,,,,0.41957986,,0.32431683,,0.14981739,,,
60,,0.19800362,,0.025504967,,,0.47819215,,,,,0.22505072,,0.05674752
61,,0.027929133,,,0.049515393,,0.19601715,,,,,0.69518065,,
62,,,,,0.7419671,,0.255132,,,,,,,
63,0.3279879,,,,,,,,0.60757345,,,,,0.051676158
64,0.4350321,,,,0.08980081,,,,0.116033375,,0.2584106,,0.041808967,0.039298143
65,,,,,,,,,0.920672,,0.013422876,0.021715667,,0.04361899
66,,,0.053087234,,,,0.16918842,,0.74809885,,,,,
67,,0.11204709,0.11609138,,,,0.12856153,,0.20624803,,,0.40676796,,0.017362146
68,,0.08825638,0.06200406,0.017389333,,0.10560565,0.1705815,,0.06914662,,,0.4746044,,
69,,,,,,,,,0.8712452,,,0.03976896,,0.08347796
70,0.15526113,,,,,0.12766086,0.5764894,,0.10988359,,,,,
71,,,,,,,0.63263005,,0.05222371,,,0.23901103,,0.04368468
72,,,0.06774629,,,,0.23152092,,0.2920235,,0.15293525,0.24246919,,
73,,,,,0.10314392,0.08147547,0.27903268,,0.05850942,,,0.38544747,,0.080849916
74,0.22572711,0.018091261,,0.019430144,,,0.4762359,,0.025722262,,,0.18090105,,0.03624246
75,,,,0.012170466,0.012127223,,,,,,,,,0.97517604
76,0.14917003,,,,,,0.3871399,,0.010108658,,0.31874716,,,0.10688563
77,,,0.012177101,,0.6683188,,0.29075313,,,,,,,0.026314782
78,,,0.09372959,,,0.33994353,,,,0.2117088,0.18866172,0.13411883,,
79,,,0.071299314,0.042414133,,,0.422746,,0.10601984,,0.12187249,0.21244746,,
80,,,,,,0.07914577,0.14338456,,,,0.15465252,0.51299614,0.074952334,0.015283293
81,,,,,,,0.20052744,,0.2535698,0.28076634,,0.23655723,,
82,,0.038633026,,,,0.1306161,0.22785978,,0.04136921,,0.19161804,0.35581097,,
83,,0.014202924,0.09389821,,,,0.48022512,,0.22152068,,,0.1254251,,0.042804405
84,0.21877316,,,,,,0.17765002,,0.33134475,,,0.24092443,,
85,,,0.22045197,,,0.17547873,0.20815618,,,,0.051329155,0.29351574,,0.032594603
86,,0.070401005,,,,,0.25204715,,,,,0.6153904,,0.03740053
87,,,0.04753854,0.03000407,0.05168394,0.10679547,0.110505365,0.12366535,,,0.11798456,0.3997283,,
88,,,0.07390999,,,,0.14896938,,,,0.110359006,0.37466598,0.21166277,0.059722487
89,,,,,,,0.019981204,,0.92810446,,0.034371268,,,
90,,,,,,,,,0.9414935,,,0.024599044,,0.030331818
91,,0.046693064,0.1471668,,,,0.17301369,,0.08957681,,,0.5163188,,
92,,,0.10072527,,,0.18442829,0.33389956,,0.14017625,,,0.1139642,,0.099845946
93,0.30109608,,0.05225381,,,,0.08812971,,0.44800538,,,,,0.09160503
94,,,0.37901512,0.071652986,0.056008235,0.11227121,0.07411335,,0.06264139,,,0.22401065,,
95,,,,,,,0.063196465,,0.8598616,,,,,0.0582127
96,,0.11374367,,0.04544195,,0.03409898,0.30511656,,,,,0.33235684,0.14879313,
97,,,,0.014461257,0.60563684,,0.36187196,,,,,,,
98,,,,0.044095077,,0.2122814,0.09645645,,0.13410746,,0.047473013,0.44633257,,
99,,0.08149818,,,,,0.2270456,,0.5843777,,,,,0.06784438
100,,,,0.034082185,0.09852136,0.28761786,0.35518837,,,,0.03574763,0.16268612,,
101,,0.079002135,,,,,0.060302433,,,0.37324467,0.17373495,0.283051,,
102,,0.062044587,,,,0.13670981,,,0.13175173,,0.2896981,0.33991864,,0.025647003
103,,0.023943197,,0.012727161,0.123071,0.32140294,0.067744225,,,,,0.42722452,,
104,,,,0.025186274,,,0.14833853,,0.16889708,,,0.59471315,,0.037195586
105,,0.06261034,0.09589131,,,0.12364873,0.11722034,,0.05359515,,0.13793562,0.39272836,,
106,,0.07247624,0.08815612,,,0.07764342,0.028507123,,0.107879676,,,0.6034383,,0.010905564
107,,,,,,0.032253314,0.38513786,,0.3560752,,0.059781626,0.08388866,,0.06489388
108,,0.1000115,,,,,0.05034117,,0.044102695,,0.12359967,0.66585755,,
109,0.08549337,,,,,,,,0.79771656,,,,,0.107048154
110,0.042966437,,0.091847524,0.02715025,0.19557965,,0.069815986,,,,0.04064527,0.5072557,,
111,,,,,,,0.19207503,,0.07547984,,,0.70797604,,
112,,,0.2550865,,,,0.6469404,,,,0.061451916,,,
113,,,,,0.07469742,,,,0.1034659,,0.19162114,0.5761123,,0.02724136
114,0.1578008,,,,,,0.16581169,,0.59225804,,,,,0.06661773
115,0.082194224,,0.06790122,,,,0.095243745,,,0.021421937,0.04080061,0.49086967,0.18876296,
116,,,0.107177295,0.021100014,,,0.18219487,,0.42205942,,,0.19444048,,0.059331164
117,0.21953939,,,,,,,,0.5906119,,,,,0.15304185
118,,,0.08050263,,,,0.3065,,0.22122182,,,0.26793125,0.045424342,0.06439445
119,,0.0895084,0.191458,,,0.10616722,0.06916146,,,,0.108965196,0.4247737,,
120,0.06762027,0.03580575,,,,,0.13225809,,,0.51714164,,0.21854167,,
121,0.060610086,0.19042413,,,,0.27733147,0.2078316,,0.052821063,0.18777503,,,,
122,,,,,,,0.038615014,,0.8384743,,0.044490173,,,0.069160774
123,0.49288973,,,,,,0.1554649,,0.24815728,,,,,0.08304417
124,,,0.09594583,,,,,,0.7738735,,,,,0.10758008
125,,,,,0.55040365,,0.36075708,,0.07884563,,,,,
126,0.13949835,,0.82686,,,,0.02651063,,,,,,,
127,,,0.123996876,,,,0.29988062,,0.5496349,,,,,
128,,,,,,,0.047575332,,0.8736524,,,,,0.06763247
129,0.06869871,,0.046243325,,,0.031295594,,,0.7931851,,,,,0.048251547
130,,,,,0.70523435,,0.29221162,,,,,,,
131,0.20747545,,,,0.05933953,,,,0.57715267,,,0.09615686,,0.031346817
132,0.03396919,,,,,,0.0784706,,0.819645,,,,,0.059716437
133,,,0.17615947,,,0.072156,,,,,,0.7152777,,
134,,,,,0.07914772,,0.09770387,,0.0935899,,,0.69620776,,
135,,,,,,,,,0.25887,,0.29219207,0.41899014,,0.015623723
136,,,,,,,0.2653029,,0.4824819,,,0.14408684,,0.081032164
137,0.07699693,0.041868437,0.037404608,,,,0.14026381,,0.634506,,,,,0.05431239
138,,,0.057242546,0.023391148,,0.057974763,0.04237564,,0.42086104,,,0.3371766,0.04417485,
139,,0.108049996,0.05887008,0.029104142,0.054368183,,0.15908752,0.14481305,0.06609536,,0.15610895,0.14322412,,0.068084486
140,,,,,0.10633551,,0.572875,,0.20075296,,,0.040813282,,0.049014796
141,,,0.07279618,,,,0.102665894,,0.7537729,,,,,0.043838453
142,,,,,,,0.028635405,,0.93257564,,,,,0.032663565
143,0.4269854,,,,,,0.12673195,,0.3161676,,,,,0.09747498
144,,,,,,,0.077996075,,0.18391877,,0.2968848,0.42094445,,
145,,,,0.017114647,,,0.20500435,,0.50734615,,,0.19640292,,0.057976242
146,,0.019134127,0.046498828,,,,0.12083257,,0.7527425,,,,,0.045681007
147,,,,,,,0.056844473,,,,,0.85723096,,0.05316204
148,,0.08934901,,,,,0.10052029,,,,0.02559865,0.75574607,,
149,,,,,,,0.08314041,,0.7568836,,,0.112522505,,0.039586633
150,0.053558834,0.015394981,0.01680719,0.024498472,,,,0.019847328,0.6984605,,0.09894606,,,0.06358352
151,0.057200387,,,,,0.096213,0.07806763,,0.6139025,,,,0.09469458,0.04991134
152,,,0.04992673,0.010466027,,,0.15779236,,0.6596314,,,0.07403421,,0.028497342
153,,,,0.0116209425,,,,,0.18992141,,0.547656,0.20225516,,0.028776234
154,0.27762008,,,,,,0.076410174,,0.5230549,,,,,0.10771207
155,,,,,,,0.11188766,,0.73944354,,0.04455478,,,0.09077659
156,,,,,,,0.12033549,,0.77453667,,,,,0.09417439
157,,,,0.0267867,,,0.2868849,,0.08211422,,,0.57212156,,
158,0.35033923,,0.109476276,,,0.16313878,0.3094524,,0.04486036,,,,,
159,,0.01985551,,0.032619577,,,0.45704752,,,,0.115036316,0.35630605,,
160,,,,0.036183134,,0.060160246,0.022553684,,0.1926466,,0.15486296,0.5000026,,0.021138428
161,,,0.03194363,,0.18773992,,0.15865493,,0.5559899,,,,,0.062332824
162,,,,0.015818784,,0.033118118,,,0.7288321,,,0.08675322,,0.12386513
163,,,,,,,0.020986486,,0.89126766,,0.055821985,,,0.028956316
164,,,,,,,0.22519138,,0.53912127,,,0.14889534,,0.05786949
165,,0.11037657,0.11165017,,,,0.09856351,,0.09010139,,,0.31732988,0.21097985,0.04133604
166,,,0.09913736,0.03312755,,0.079897195,0.20881662,,,,0.13770398,,,0.42525852
167,0.3513749,,,0.019174203,,,0.2759672,,0.28676453,,,,,0.03541796
168,0.105402075,,0.17703308,0.03520557,,0.25633818,,0.20480967,,,,0.20403595,,
169,,0.049022544,,,0.06475646,0.10503072,0.094987884,,,,0.10291958,0.54141015,,0.022608668
170,0.11021485,,,,,,0.085366525,,0.6316592,,,0.015280873,,0.14246276
171,,0.07517635,0.105992354,0.051513806,,,,,,,0.10778805,0.3311742,0.30434093,
172,,0.083296046,,,0.10471643,0.33672047,,,,,0.102553114,,0.34208658,
173,0.66684675,,,,,,0.16462925,,,,,,,0.13512999
174,,,,0.02686754,0.48028067,,,0.48201463,,,,,,
175,,,,,0.035870586,0.13537405,0.14645211,,,0.28050783,,0.33389202,,0.040636603
176,,0.05800835,,0.013297189,0.48170146,,0.2802728,,,,0.016256591,0.14761959,,
177,,0.060400307,0.09160907,0.055276986,,,0.17083201,0.11799435,0.039940108,,0.07163199,0.37469763,,
178,,,0.010185607,,,,0.72472674,,,,0.22699107,,,
179,,,,,0.11350225,,0.83153677,,0.039490636,,,,,
180,0.016852273,,,,,,,,0.91677773,,,,,0.06295333
181,0.08254562,,0.035925288,,,,0.049273077,,0.7186555,,,,,0.09955004
182,0.24833527,,,,,,0.030692624,,0.58771497,,,0.064911835,,0.053963408
183,0.036402583,0.023284659,,,,0.03321048,0.056131285,,0.52018434,,0.30541158,,,0.012318645
184,0.04361998,0.02542662,,,,,,,0.8493418,,,,,0.074611396
185,,,,0.040570863,,,0.18222247,,0.13772167,,,0.6068194,,
186,,,,,0.049589287,,0.084259495,,,,0.16120425,0.64311737,,0.039042365
187,,,,0.022308465,,,0.35832864,,0.30363163,,0.11771037,0.13482763,,0.043300726
188,,,0.09941093,,,,0.051625177,,,0.13167842,0.20008497,0.45047486,,0.039264575
189,,,,0.014418903,,,0.109755486,,0.6715843,,,0.18628357,,
190,,,,,,0.09506792,0.38630763,,0.25582147,,,0.2314776,,
191,,0.02046525,,,,,0.13165767,,0.6837107,,,0.1495469,,
192,,,,0.019653294,,,0.10288339,,,,,0.84076214,,
193,,,,0.025968678,,,0.079000935,,0.12817372,,0.2913221,0.4541689,,
194,0.32045567,,,,,,0.10931261,,0.48605585,,,,,0.06631711
195,,,,,,,0.26561123,,0.3807977,,,0.24778666,,0.08367732
196,0.08049973,0.10752646,,,,,0.5142812,,0.13878503,,,,,0.13003798
197,,,,,,0.24094371,0.124077484,,0.14007576,,0.05293287,0.3709341,,0.047337867
198,,0.11521427,,0.046659283,0.14610028,,0.33949256,,0.080488935,,,0.24574083,,
199,0.16725177,,,,,0.06865634,0.09494083,,0.53577965,,,,0.066847146,0.048332576
200,,0.04188072,,,,0.054418907,0.2295208,,0.054311883,,0.043853648,0.54408467,,0.017972024
201,,,0.096280634,,,,0.30704182,,0.08920701,,,0.40608203,,0.07292983
202,,,,0.046662506,,0.07087293,0.099632874,,0.12238244,,0.24166228,0.3993679,,
203,,,,0.0264176,0.12369069,,,,,,,0.8019713,,0.017736752
204,,0.06992176,,,,0.1516216,0.24041818,,,,,0.5105794,,
205,,,,,,0.5802464,0.30594012,,,,0.052615523,,,0.031369008
206,,,0.06706404,,0.052309457,0.06510193,0.13313483,,0.057284113,,0.16064365,0.40482134,,0.043313812
207,0.15808624,,,,,,0.23439342,,0.4112179,,,0.16900331,,
208,,,,,0.4892941,,0.50137776,,,,,,,
209,0.2400807,,,,,,0.056770448,,0.57188773,,,0.08507557,,0.024342615
210,,,0.34828815,,,0.1214702,0.32117718,,0.045598637,,0.08240414,,,0.05766783
211,,0.15030652,,,,0.1626045,0.2397497,,0.053559244,,0.058624532,0.31598753,,
212,0.05087858,,,,,,0.044569463,,0.84363586,,,,,0.055505615
213,0.0253144,,,,,0.29939148,0.29940283,,,0.22660604,0.12429668,,,
214,,,,,,0.071858786,0.0675151,,0.4043429,,,0.40486377,,0.032979194
215,0.09342395,0.028499318,,,,,0.03812519,,0.7206567,,,,,0.10467748
216,0.06258433,,,,,,0.12069405,,0.77872986,,,,,0.028277213
217,,,0.20803475,,,0.30926958,,,0.076923266,,,0.37271816,,
218,,0.03678924,,,0.07585518,,0.05774775,,0.48483503,,0.2709645,,,0.059293415
219,,,,0.02045952,0.16593014,0.6819196,,,0.01704694,,,,,0.08648307
220,,0.09486395,0.06082652,0.01061532,0.08537659,,0.16547081,,,,0.09909773,0.43281937,0.039809246,
221,,,0.09051114,,,0.07036936,0.19772132,,0.4898285,,,,,0.123553894
222,,,0.064597085,,,,,,0.3175538,,0.1856054,0.39883605,,0.020611394
223,,,,,,,0.46967113,,0.079989195,,,0.22683065,0.13395427,0.06841464
224,,0.13773654,,,0.03968285,0.2626567,0.10569994,0.26101574,,,,0.13152538,,0.042221565
225,,,,,,0.67504835,,,0.26341087,,,,,0.032924652
226,0.10722576,0.15263751,,0.0261431,,,0.24548736,,0.05603813,,,0.3935015,,
227,0.028123224,,,,,,0.023457156,,0.8289977,,,,,0.11444384
228,,,,,,,0.1126807,,0.18469693,,0.14015463,0.5089485,,0.03348704
229,0.30183294,,,,,0.29540792,,,,,,0.3540146,,0.023142926
230,,0.04671042,,,,0.525131,,,,,0.033834215,0.37786293,,
231,,,,,0.045794383,,0.23164643,,0.055544697,0.2846145,0.08285646,0.2602657,,0.02157209
232,,,0.119981505,0.011084452,0.10446076,0.21477431,0.14877526,,0.07252916,,,0.31094402,,
233,,,,,,0.44369268,0.080611244,,,,,0.45784086,,
234,,,,,,,0.11787708,,0.69915843,,0.117976755,,,0.051608775
235,,,0.098696746,,,,0.29072177,,0.4779854,,,,,0.099784836
236,0.045728263,0.0148413265,0.10039362,0.011073084,,0.12535696,0.15771215,0.14125901,0.018378636,0.013173332,0.10194305,0.2355409,0.03140517,
237,,0.049847554,,0.101907246,0.011050149,,0.04743376,0.28073052,,0.4121748,0.047198385,0.045769703,,
238,,0.026331495,,0.012027328,0.043069743,0.047547825,0.016403915,0.087360546,,0.3585735,0.051358867,0.094007164,0.25206438,
239,,,,,,0.015219949,0.026922712,0.0441353,0.045504518,0.32662162,0.118956886,0.12108258,0.27598932,
240,,0.0112989,,,,0.09053459,,0.017181179,,0.38839126,0.08999029,0.19961306,0.19232719,
241,0.19013064,,0.089920364,0.10227326,,0.2150645,0.16831978,,0.024442535,0.03107384,0.01640865,0.05483461,0.105830066,
242,0.09111128,0.011230227,,,,0.24593467,0.15789543,0.12551782,0.07242434,0.07047808,0.105022356,0.011202803,0.09850372,0.010318365
243,,,0.15470721,,0.027228879,0.1225145,0.31595373,0.17984082,,,,0.10231601,0.09128369,
244,0.021274053,,0.1417281,,,0.09525275,0.4087348,0.18597792,,,0.033591073,,0.10719972,
245,0.18121119,,0.14115387,0.014173665,0.017484207,0.22511658,0.0982657,0.06237589,0.012196378,0.058864202,0.09654749,,0.06936056,0.012311743
246,0.18091038,,,,,0.055947706,0.23652366,0.1414918,0.097329825,0.021552773,,0.05822882,0.191418,0.013038651
247,0.26506332,,0.08751616,,0.014435522,0.043889623,0.12961486,0.0872514,0.21387196,,,0.038971588,0.08870306,0.01670901
248,0.038789175,0.01969229,0.094984524,,0.018490212,0.13385795,0.23352781,0.108778305,0.029677832,0.072212085,0.030073166,0.06756517,0.15209852,
249,,,0.016648058,,,,0.019486915,,0.8617175,,0.07677095,,,0.016145064
250,0.25435975,,,,0.010749044,0.13340157,,,0.48722985,0.024463382,,0.03279257,0.022814758,0.02248294
251,0.19093075,0.016188564,0.085404746,,0.034366906,0.085798904,0.15491141,0.0945862,0.16118452,,0.027580174,0.035306714,0.094322294,0.018512195
252,0.19112948,,0.15208372,,,0.019345013,0.1982035,0.19271117,0.1396032,,,0.050481725,0.055340216,
253,0.03964757,,0.03758934,,0.028598765,0.2568927,0.29769877,0.055248123,0.010366014,0.11612039,0.034044873,0.025084443,0.07807264,
254,0.15776987,,0.07652068,,0.026972458,0.05884625,0.08192929,0.09263926,0.12706754,0.039065205,0.10921981,0.038960584,0.19085746,
255,0.36834592,0.014086059,0.12895918,,0.053183325,0.031057859,0.20092571,0.11345193,,0.015339853,,0.036668386,0.030167155,
256,0.02278498,,0.029050669,,0.042525094,0.42621177,0.16831098,0.10549869,,,,0.028361104,0.15401135,0.016204366
257,0.017486598,,0.053507123,,0.038789593,0.096084766,0.35522264,0.23238467,,0.0417467,,0.013627869,0.14516087,
258,0.68389547,0.012218415,0.041280158,,0.020940501,0.04895218,0.028298276,0.035984103,0.0935309,,,,0.014354857,0.012730775
259,0.05654091,,0.08042735,0.010909852,0.014179638,0.11473085,0.26352742,0.21164194,0.026278928,0.020121627,0.012160877,0.021435129,0.16284046,
260,0.064335875,,0.054108046,,0.06163477,0.18400009,0.26483244,0.17401855,,0.04724263,0.01996337,0.07065822,0.04761795,0.011224847
261,0.091315,,0.049744766,,,0.12487007,0.38959154,0.13663049,,0.024850845,,0.012084735,0.14604683,0.017332794
262,0.024532398,,0.081838496,,,0.077774175,0.290476,0.21972816,0.02431204,0.010958778,0.051559992,0.023087107,0.1645608,0.018832063
263,,,,0.050596237,0.23293751,,,0.7161775,,,,,,
264,0.09755824,,0.17045288,,,0.18624005,0.2084816,0.24194084,,,,0.028112313,0.059487548,
265,,,0.07244788,,0.03289086,0.027584473,0.12290756,0.07546697,,0.23749363,0.041800965,0.10571409,0.26869568,
266,0.37426496,,,,,0.17461027,0.0777903,0.10217674,0.17468686,,,,0.056955803,0.016462477
267,0.1916891,,0.05587339,,,0.11593178,0.20321588,0.11411018,0.09336571,,0.09343474,,0.09390556,0.022706036
268,,,0.15661865,,,0.082099095,0.23779055,0.32777002,,0.11902383,,0.06712136,,
269,,,,,,0.02970725,0.034946073,,0.7297563,,0.1888127,,,0.01000792
270,,,0.19625263,,0.021858588,0.040459175,0.2687439,0.19001056,,,0.03459172,0.061842997,0.16702041,
271,0.037375614,,0.029456515,,0.02645484,0.28035828,0.38566956,0.15246108,,,,,0.074670695,
272,0.08245878,,0.122301035,,0.05252232,0.258681,0.29184657,0.10856197,,,0.019815076,,0.06144232,
273,0.5181099,,,,,,0.038164865,0.06293739,0.30350825,0.012485779,,0.031729367,0.028700678,
274,,,,,,0.053752057,,,0.69817525,,0.18719718,,0.049607918,
275,0.13445248,0.016474288,0.21540742,,,0.13560158,0.22878474,0.20381235,0.022038247,,0.010519032,0.020850409,,
276,0.07742532,,0.17522773,,0.042612128,0.13448319,0.15635188,0.24801655,,,,0.07421064,0.08222022,
277,0.089899,,0.121023834,,,0.118002184,0.16686907,0.21344082,0.049259763,0.026463311,0.016536351,0.08558451,0.112487614,
278,,,0.1616748,0.014074537,0.013269073,0.14752476,0.21490888,0.21068712,,0.049650785,0.015929881,,0.16980413,
279,0.059829265,,0.1485793,0.012748639,,0.104094855,0.2553727,0.19401027,0.08500152,,0.016099907,0.07274159,,0.028661536
280,0.050343268,,0.1378241,,0.026440054,0.032901872,0.279729,0.15155259,,,,0.07464553,0.24537373,
281,0.24929424,0.017841257,0.11276406,,0.030501926,,0.16770436,0.10922164,0.101799496,0.011430747,,0.06641277,0.10095951,0.026209699
282,0.06600322,0.023091849,0.14201942,,,0.15428518,0.23848198,0.061707333,,0.025530517,0.08003313,,0.18400653,
283,,,0.19075905,,,0.119255535,0.2500409,0.25483593,,0.014632608,,,0.16160527,
284,,0.017281432,0.19655393,,0.07045976,0.12683475,0.29341355,0.17719251,,0.042693462,,0.027011741,0.047653526,
285,,,0.22526407,,,0.067417815,0.1631291,0.33772358,,0.05872339,,,0.1416702,
286,,,,,0.04804467,0.5326049,0.24155697,0.015822802,,0.03868698,0.037046842,,0.052281193,0.012127252
287,0.03781975,0.010828463,0.026547419,,,0.092412055,0.58936965,0.093090266,,0.019394545,0.0120075885,0.04909515,0.068765886,
288,0.032051552,,0.091729574,0.08488102,0.028380098,0.22072546,0.21245569,0.09717257,,0.06384235,,0.028288923,0.14007874,
289,0.02485009,0.015175711,0.12400972,,0.026329879,0.15193471,0.26287782,0.17389081,0.019421445,,,,0.17414165,0.01077785
290,0.060583785,,0.040112853,,0.025354143,0.2996038,0.20767769,0.028612234,0.04859863,0.050169956,0.065560326,,0.15391918,
291,,,0.07503873,,,0.03693045,0.25138402,0.16870354,,0.11279782,0.027194915,0.08730922,0.22552714,
292,0.115850165,0.012837374,0.07512911,,0.011617241,0.20069535,0.29863468,0.13231497,0.03361583,0.0119750975,0.014167895,0.020724906,0.059539277,0.012790016
293,0.07450914,,0.14386646,,0.036440793,0.09220853,0.25367787,0.24341816,,,,0.05721261,0.08876129,
294,0.032169458,,0.105952375,,,0.15858126,0.31570566,0.15008393,0.010595127,0.048359692,0.047473457,0.03484971,0.09309966,
295,,,0.033351913,,,0.12080466,0.100112244,0.019441104,0.4789869,,0.22155862,,0.011609734,
296,,,,,0.012430321,0.03386416,0.07349324,0.05268004,0.4501935,0.050213676,0.17248222,0.047498576,0.08165457,0.010042681
297,0.034595415,,0.115667306,,0.040277738,0.14812264,0.25324786,0.22270219,,,,0.012660122,0.16422103,
298,0.017934876,,,0.011980368,,0.42324036,0.18091564,0.07331416,0.06160948,,0.05353975,,0.16962658,
299,0.04043654,,0.042274807,,0.0134084895,0.05765845,0.029192457,0.033173695,0.09130783,0.10055352,0.18395616,0.14707127,0.25387254,
300,0.03789927,,0.14557903,,0.010244451,0.09778025,0.18390441,0.13985401,,0.13775824,0.042843904,0.031978652,0.16593577,
301,,,0.09463784,,0.04938757,0.12231685,0.27844542,0.22829995,,0.022065835,,0.07092943,0.12820934,
302,0.07447604,,0.023166982,,0.031446148,0.21286106,0.090085424,0.062554196,0.054499835,0.06797543,0.04870676,0.07051452,0.23473442,0.02873245
303,0.013876754,0.053991336,0.027248885,0.011198699,0.017624144,0.050782572,0.04227639,,,0.3968872,0.09004034,0.16872124,0.11299213,
304,,0.032645307,,,,,,0.057501882,0.08179678,0.24294291,0.5503666,0.027267288,,
