,SBS2,SBS3,SBS5,SBS10b,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS37,SBS39,SBS40,SBS44
0,,0.9104716549781946,,,,,,,,,0.8309050054413508,0.9054437561010125,
1,,,,,,,0.9522698769742112,,,,,,
2,,0.8625907785927447,,,,,,,,,,0.8196583741813125,
3,,,,0.8691156102723204,,,,,,,,,
4,,,0.8911770626966562,,0.8356867822138531,,,,0.8174145333734402,0.8103532266594626,,,
5,,,,,,,,,,0.8014972880950041,,,
6,,,,,,,,0.8511972556450111,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,0.8335760233829675,,,,,,,,,0.8004487576655325,
10,,,,,,0.9580045862601096,,,,,,,
11,0.8682238376113023,,,,,,,,,,,,
12,,,,,,,,,,,,,0.9157264651492808
