,Num Topics,Iterations,Mean Cosine Similarity,Median Cosine Similarity,Coherence cv,Coherence umass,Perplexity,Variational Lower Bound,Time(s)
0,4,2,0.991,0.992,0,0,0,-1060237.0640182416,2.578365
1,4,5,0.991,0.992,0,0,0,-1060225.286343901,2.28512
2,4,10,0.991,0.992,0,0,0,-1060160.1754508147,2.298921
3,4,30,0.949,0.937,0,0,0,-1052889.8752944362,4.128473
4,4,50,0.932,0.931,0,0,0,-1052371.6136644604,7.102949
5,4,100,0.934,0.921,0,0,0,-1052165.333430967,18.309071
6,4,200,0.921,0.906,0,0,0,-1052041.2560852198,56.008095
7,4,400,0.855,0.82,0,0,0,-1051589.7454559235,157.415072
8,4,600,0.851,0.819,0,0,0,-1051586.5295614032,267.788563
9,4,800,0.847,0.817,0,0,0,-1051585.553939226,369.573423
10,4,1000,0.843,0.817,0,0,0,-1051583.1143796379,465.905459
