,Num Topics,Mean Cosine Similarity,Median Cosine Similarity,Coherence cv,Coherence umass,Perplexity,Variational Lower Bound,Time(s)
0,2,0.596,0.596,0,0,0,-12989079.914889991,248.796635
1,4,0.374,0.454,0,0,0,-12927700.749904752,713.966408
2,6,0.363,0.457,0,0,0,-12904083.754076898,1298.344899
3,8,0.601,0.498,0,0,0,-12901449.556534708,1349.805489
4,10,0.392,0.442,0,0,0,-12894251.744837523,916.410892
5,12,0.443,0.47,0,0,0,-12891168.8101421,4411.913363
6,14,0.503,0.501,0,0,0,-12892912.386628747,956.113067
7,16,0.491,0.465,0,0,0,-12892247.53500694,1069.939917
8,18,0.492,0.453,0,0,0,-12892879.577262044,1167.700647
9,20,0.468,0.459,0,0,0,-12892607.898429036,1241.418443
10,22,0.554,0.492,0,0,0,-12892712.301006913,1421.007114
11,24,0.443,0.473,0,0,0,-12893332.332719684,1215.12297
12,26,0.477,0.436,0,0,0,-12894268.27717048,1217.007447
13,28,0.513,0.475,0,0,0,-12895458.328724504,1353.646993
