Extracted Signatures,COSMIC Signature,Cosine Similarity
0,SBS1,
1,SBS1,
2,SBS1,0.9274443724915892
3,SBS1,
4,SBS1,
5,SBS1,
6,SBS1,
7,SBS1,
8,SBS1,
9,SBS1,
10,SBS1,
11,SBS1,
12,SBS1,
13,SBS1,
14,SBS1,
15,SBS1,
16,SBS1,
17,SBS1,
18,SBS1,
19,SBS1,
20,SBS1,
21,SBS1,
0,SBS2,
1,SBS2,
2,SBS2,
3,SBS2,
4,SBS2,
5,SBS2,
6,SBS2,
7,SBS2,
8,SBS2,
9,SBS2,
10,SBS2,
11,SBS2,
12,SBS2,
13,SBS2,
14,SBS2,
15,SBS2,
16,SBS2,
17,SBS2,
18,SBS2,
19,SBS2,
20,SBS2,0.9386146510786988
21,SBS2,
0,SBS3,
1,SBS3,
2,SBS3,
3,SBS3,
4,SBS3,
5,SBS3,
6,SBS3,
7,SBS3,
8,SBS3,
9,SBS3,
10,SBS3,
11,SBS3,
12,SBS3,
13,SBS3,
14,SBS3,
15,SBS3,
16,SBS3,
17,SBS3,0.8385505760028621
18,SBS3,
19,SBS3,
20,SBS3,
21,SBS3,
0,SBS4,
1,SBS4,
2,SBS4,
3,SBS4,
4,SBS4,
5,SBS4,
6,SBS4,
7,SBS4,
8,SBS4,
9,SBS4,
10,SBS4,
11,SBS4,
12,SBS4,
13,SBS4,
14,SBS4,
15,SBS4,
16,SBS4,
17,SBS4,0.8881600880479846
18,SBS4,
19,SBS4,
20,SBS4,
21,SBS4,
0,SBS5,
1,SBS5,
2,SBS5,
3,SBS5,0.8657340413962794
4,SBS5,
5,SBS5,
6,SBS5,
7,SBS5,
8,SBS5,
9,SBS5,
10,SBS5,
11,SBS5,
12,SBS5,
13,SBS5,
14,SBS5,
15,SBS5,
16,SBS5,
17,SBS5,
18,SBS5,
19,SBS5,
20,SBS5,
21,SBS5,
0,SBS6,
1,SBS6,
2,SBS6,0.8604206632082945
3,SBS6,
4,SBS6,
5,SBS6,0.800071463938201
6,SBS6,
7,SBS6,
8,SBS6,
9,SBS6,
10,SBS6,
11,SBS6,
12,SBS6,
13,SBS6,
14,SBS6,
15,SBS6,
16,SBS6,
17,SBS6,
18,SBS6,
19,SBS6,
20,SBS6,
21,SBS6,
0,SBS7a,
1,SBS7a,
2,SBS7a,
3,SBS7a,
4,SBS7a,0.8480479114706279
5,SBS7a,
6,SBS7a,
7,SBS7a,
8,SBS7a,
9,SBS7a,
10,SBS7a,
11,SBS7a,
12,SBS7a,
13,SBS7a,
14,SBS7a,
15,SBS7a,
16,SBS7a,
17,SBS7a,
18,SBS7a,
19,SBS7a,
20,SBS7a,
21,SBS7a,
0,SBS7b,
1,SBS7b,
2,SBS7b,
3,SBS7b,
4,SBS7b,0.9742716490371428
5,SBS7b,
6,SBS7b,
7,SBS7b,
8,SBS7b,
9,SBS7b,
10,SBS7b,
11,SBS7b,
12,SBS7b,
13,SBS7b,
14,SBS7b,
15,SBS7b,
16,SBS7b,
17,SBS7b,
18,SBS7b,
19,SBS7b,
20,SBS7b,
21,SBS7b,
0,SBS8,
1,SBS8,
2,SBS8,
3,SBS8,
4,SBS8,
5,SBS8,
6,SBS8,
7,SBS8,
8,SBS8,
9,SBS8,
10,SBS8,
11,SBS8,
12,SBS8,
13,SBS8,
14,SBS8,
15,SBS8,
16,SBS8,
17,SBS8,0.8248022130997832
18,SBS8,
19,SBS8,
20,SBS8,
21,SBS8,
0,SBS10b,
1,SBS10b,
2,SBS10b,
3,SBS10b,
4,SBS10b,
5,SBS10b,
6,SBS10b,0.868357159942304
7,SBS10b,
8,SBS10b,
9,SBS10b,
10,SBS10b,
11,SBS10b,
12,SBS10b,
13,SBS10b,
14,SBS10b,
15,SBS10b,
16,SBS10b,
17,SBS10b,
18,SBS10b,
19,SBS10b,
20,SBS10b,
21,SBS10b,
0,SBS13,
1,SBS13,
2,SBS13,
3,SBS13,
4,SBS13,
5,SBS13,
6,SBS13,
7,SBS13,
8,SBS13,
9,SBS13,
10,SBS13,
11,SBS13,
12,SBS13,0.9051033039422116
13,SBS13,
14,SBS13,
15,SBS13,
16,SBS13,
17,SBS13,
18,SBS13,
19,SBS13,
20,SBS13,
21,SBS13,
0,SBS16,
1,SBS16,
2,SBS16,
3,SBS16,
4,SBS16,
5,SBS16,
6,SBS16,
7,SBS16,
8,SBS16,
9,SBS16,
10,SBS16,
11,SBS16,
12,SBS16,
13,SBS16,
14,SBS16,
15,SBS16,
16,SBS16,
17,SBS16,
18,SBS16,
19,SBS16,0.8521620212757486
20,SBS16,
21,SBS16,
0,SBS33,
1,SBS33,
2,SBS33,
3,SBS33,
4,SBS33,
5,SBS33,
6,SBS33,
7,SBS33,
8,SBS33,
9,SBS33,
10,SBS33,
11,SBS33,
12,SBS33,
13,SBS33,
14,SBS33,0.8636852736808296
15,SBS33,
16,SBS33,
17,SBS33,
18,SBS33,
19,SBS33,
20,SBS33,
21,SBS33,
0,SBS38,
1,SBS38,
2,SBS38,
3,SBS38,
4,SBS38,
5,SBS38,
6,SBS38,
7,SBS38,
8,SBS38,
9,SBS38,
10,SBS38,0.9029600909902296
11,SBS38,
12,SBS38,
13,SBS38,
14,SBS38,
15,SBS38,
16,SBS38,
17,SBS38,
18,SBS38,
19,SBS38,
20,SBS38,
21,SBS38,
0,SBS39,
1,SBS39,
2,SBS39,
3,SBS39,
4,SBS39,
5,SBS39,
6,SBS39,
7,SBS39,
8,SBS39,
9,SBS39,
10,SBS39,
11,SBS39,
12,SBS39,
13,SBS39,0.8302684193315016
14,SBS39,
15,SBS39,
16,SBS39,
17,SBS39,
18,SBS39,
19,SBS39,
20,SBS39,
21,SBS39,
0,SBS40,0.8219745909202668
1,SBS40,
2,SBS40,
3,SBS40,0.8535746314050554
4,SBS40,
5,SBS40,
6,SBS40,
7,SBS40,
8,SBS40,
9,SBS40,
10,SBS40,
11,SBS40,
12,SBS40,
13,SBS40,
14,SBS40,
15,SBS40,
16,SBS40,
17,SBS40,0.8572876536794448
18,SBS40,
19,SBS40,
20,SBS40,
21,SBS40,
0,SBS43,
1,SBS43,
2,SBS43,
3,SBS43,
4,SBS43,
5,SBS43,
6,SBS43,
7,SBS43,
8,SBS43,
9,SBS43,
10,SBS43,
11,SBS43,
12,SBS43,
13,SBS43,
14,SBS43,
15,SBS43,0.8597803004892862
16,SBS43,
17,SBS43,
18,SBS43,
19,SBS43,
20,SBS43,
21,SBS43,
0,SBS45,
1,SBS45,
2,SBS45,
3,SBS45,
4,SBS45,
5,SBS45,
6,SBS45,
7,SBS45,
8,SBS45,
9,SBS45,
10,SBS45,0.9360262682095284
11,SBS45,
12,SBS45,
13,SBS45,
14,SBS45,
15,SBS45,
16,SBS45,
17,SBS45,
18,SBS45,
19,SBS45,
20,SBS45,
21,SBS45,
