,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS10b,SBS13,SBS16,SBS33,SBS38,SBS39,SBS40,SBS43,SBS45
0,,,,,,,,,,,,,,,,0.8219745909202668,,
1,,,,,,,,,,,,,,,,,,
2,0.9274443724915892,,,,,0.8604206632082945,,,,,,,,,,,,
3,,,,,0.8657340413962794,,,,,,,,,,,0.8535746314050554,,
4,,,,,,,0.8480479114706279,0.9742716490371428,,,,,,,,,,
5,,,,,,0.800071463938201,,,,,,,,,,,,
6,,,,,,,,,,0.868357159942304,,,,,,,,
7,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,0.9029600909902296,,,,0.9360262682095285
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,0.9051033039422116,,,,,,,
13,,,,,,,,,,,,,,,0.8302684193315016,,,
14,,,,,,,,,,,,,0.8636852736808296,,,,,
15,,,,,,,,,,,,,,,,,0.8597803004892862,
16,,,,,,,,,,,,,,,,,,
17,,,0.8385505760028621,0.8881600880479846,,,,,0.8248022130997832,,,,,,,0.8572876536794448,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,0.8521620212757486,,,,,,
20,,0.9386146510786988,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
