topic,SBS3,SBS4,SBS5,SBS6,SBS8,SBS12,SBS22,SBS40,SBS45,SBS57
0,0.8031000626656113,0.8049688967267243,,,0.8012777147037977,,,0.8926156156218698,,
1,,,,0.8029100479203135,,,,,,
2,,,0.8068750705271617,,,,,0.8813577785538543,,
3,,,,,,,,,,0.9899875640586369
4,0.8085217695412511,,0.8175460267865454,,,,,0.9297824832856373,,
5,,,0.8675285860799441,,,0.8425999451495754,,,,
6,,,,,,,,,,
7,0.8338965279966414,,0.9344998500105293,,,,,0.8446239550538814,,
8,,,,,,,0.9111941375736526,,,
9,0.8638321160265318,,0.828181153558007,,,,,0.9425341951798065,,
10,,,,,,,0.9915137507484624,,,
11,,,,,,,,,0.815768568374623,
